date,time,activity
2025-05-25,23:25,Gelato - Don Peppinu
2025-05-25,23:45,Took cable car back
2025-05-25,12:15,Back to Airbnb
2025-05-26,09:15,Walking to beach
2025-05-26,09:30,Waiting for boat tour
2025-05-26,09:45,Boat tour start
2025-05-26,10:22,Boat tour ends
2025-05-26,10:45,Back to Airbnb
2025-05-26,11:20,Checking out
2025-05-26,11:30,"Luggages loaded, leave to old town"
2025-05-26,12:00,Arrive old town
2025-05-26,12:35,Lunch at Ristorante Pizzeria Casa Ciampoli Taormina
2025-05-26,13:40,Keep walking around old town
2025-05-26,14:05,Bell tower
2025-05-26,15:15,Levante gelato
2025-05-26,15:45,"Leave, Manchi drives to Catania"
2025-05-26,17:05,"Back to Catania, get gas"
2025-05-26,17:15,Check in hotel and return rental car
2025-05-26,17:40,Relax in the room
2025-05-26,18:15,Calling Uber to center of Catania
2025-05-26,18:40,Arrive downtown Catania
2025-05-26,18:50,Dinner at TANTìKKIA - cucina e vino
2025-05-26,20:19,Second dinner - Scirocco
2025-05-26,20:45,Walking around downtown Catania
2025-05-26,21:19,Take Uber back to hotel
2025-05-26,21:35,Back to hotel
2025-05-27,07:00,Checkout hotel and walk to airport
2025-05-27,07:20,Checked bag
2025-05-27,07:50,Boarding
2025-05-27,08:25,Flight to Pisa
2025-05-27,10:15,Relax in airport and book bus to Florence
2025-05-27,11:00,Heading to Florence
2025-05-27,12:12,Take bus to Airbnb
2025-05-27,12:55,Check in Airbnb
2025-05-27,13:35,Leaving for lunch
2025-05-27,13:52,Lunch at Osteria Nuvoli
2025-05-27,15:05,Line up for Cattedrale di Santa Maria del Fiore
2025-05-27,15:30,Enter the church
2025-05-27,16:00,Out of the church
2025-05-27,16:32,Vivoli
2025-05-27,16:50,Gucci Garden
2025-05-27,17:20,Gucci Garden museum
2025-05-27,17:40,Piazza della Signoria
2025-05-27,19:05,Trattoria Dall'Oste
2025-05-27,21:15,Back to Airbnb
2025-05-27,22:35,Get drinks from wine window
2025-05-27,12:00,Back to hotel
2025-05-28,09:55,Leaving hotel
2025-05-28,10:08,Coffee Mantra
2025-05-28,10:20,Brunch at Ditta Artigianale & Hario Cafe
2025-05-28,10:30,Order to go
2025-05-28,10:50,Eat brunch at hotel
2025-05-28,11:40,Walking to bus stop
2025-05-28,11:56,Board bus to SMN train station
2025-05-28,12:20,Arrive Avis rental
2025-05-28,12:50,Driving to Antinori nel Chianti Classico
2025-05-28,13:30,Arrive Antinori nel Chianti Classico
2025-05-28,16:00,Take taxi back to Piazzale Michelangelo
2025-05-28,16:25,Arrive Piazzale Michelangelo
2025-05-28,16:40,Walking to Ponte Vecchio
2025-05-28,17:00,Cantina del Gelato Il Gelato Artigianale
2025-05-28,18:15,Small dinner at Gustapanino
2025-05-28,19:00,Walking through old bridge
2025-05-28,19:40,Officina Profumo - Farmaceutica di Santa Maria Novella
2025-05-28,20:30,Real dinner at Cantinetta delle Terme
2025-05-28,22:30,Walk back to hotel
2025-05-28,22:50,Back to hotel
2025-05-29,07:50,Explore Florence on Lillian’s own
2025-05-29,08:00,Walk around Cattedrale di Santa Maria del Fiore
2025-05-29,08:15,Gilli Cafe
2025-05-29,08:55,Back to hotel
2025-05-29,09:30,Checkout hotel
2025-05-29,09:55,Take bus to SMN train station
2025-05-29,10:10,Arrive train station
2025-05-29,11:10,Board train to Venice
2025-05-29,13:05,Smoke evacuation
2025-05-29,14:25,Water bus to hotel
2025-05-29,14:32,Check in hotel
2025-05-29,15:20,Walking to Adagio
2025-05-29,15:24,Ponte #1
2025-05-29,15:25,Ponte #2
2025-05-29,15:28,Ponte #3
2025-05-29,15:29,Ponte #4
2025-05-29,15:30,Small meal at Adagio
2025-05-29,16:20,Leaving restaurant
2025-05-29,16:34,Ponte #5
2025-05-29,16:44,Ponte #6
2025-05-29,16:57,Ponte #7
2025-05-29,17:15,Palazzo Contarini del Bovolo
2025-05-29,17:41,Ponte #8
2025-05-29,17:46,Stop by Teatro La Fenice
2025-05-29,17:47,Ponte #9
2025-05-29,18:00,Chanel shopping
2025-05-29,18:15,Church - Chiesa Parrocchiale di San Moisè
2025-05-29,18:40,Caffè Florian
2025-05-29,19:15,St Marco plaza
2025-05-29,19:25,Ponte #10 Ponte della Paglia
2025-05-29,19:45,Take water bus to academy ponte
2025-05-29,20:13,Ponte #11 at academy ponte
2025-05-29,20:40,Dinner at Ristorante San Trovaso
2025-05-29,22:00,Walking back to hotel
2025-05-29,22:45,Ponte #12
2025-05-29,22:50,Back to hotel
2025-05-30,11:00,Take water bus
2025-05-30,11:11,Ponte #1
2025-05-30,11:20,Get coffee at 1000 Coffee
2025-05-30,11:48,Ponte #2
2025-05-30,11:51,Ponte #3
2025-05-30,11:52,Coop supermarket
2025-05-30,12:01,Ponte #4 (Ponte Chiodo)
2025-05-30,12:03,Ponte #4
2025-05-30,12:04,Ponte #5
2025-05-30,12:15,At the water bus station
2025-05-30,12:40,On boat to Burano
2025-05-30,13:22,"Arrive Burano, walk around"
2025-05-30,14:15,Lunch at Trattoria Al Gatto Nero
2025-05-30,16:06,Ponte #6
2025-05-30,16:10,Walking around center of Burano
2025-05-30,16:23,Ponte #7
2025-05-30,16:25,Ponte #8
2025-05-30,16:40,Waiting for water bus
2025-05-30,16:55,Water bus full
2025-05-30,17:15,Finally board the water bus to Murano
2025-05-30,17:52,Walk around Murano
2025-05-30,18:02,Ponte #9
2025-05-30,18:16,Ponte #10
2025-05-30,18:20,Ponte #11 (temporary bridge)
2025-05-30,18:55,Take water bus back to Venice
2025-05-30,19:09,Ponte #11
2025-05-30,19:15,Calle Varisco
2025-05-30,19:27,Ponte #12
2025-05-30,19:33,Ponte #13
2025-05-30,19:36,Ponte #14
2025-05-30,19:39,Ponte #15 (Ponte di Rialto)
2025-05-30,20:04,Ponte #15
2025-05-30,20:09,Ponte #16
2025-05-30,20:25,Dinner at Osteria del Lovo
2025-05-30,23:08,Leaving Osteria del Lovo
2025-05-30,23:17,Suso
2025-05-30,23:25,Walking back to hotel
2025-05-30,23:56,Back to hotel
2025-05-31,09:25,Lillian explores on her own
2025-05-31,09:30,Ponte #1
2025-05-31,09:30,Ponte #2
2025-05-31,09:55,Back to hotel
2025-05-31,11:20,Leaving for early lunch
2025-05-31,11:30,Take off water bus
2025-05-31,11:33,Ponte #3
2025-05-31,11:37,Ponte #4
2025-05-31,11:38,Ponte #5
2025-05-31,11:39,Ponte #6
2025-05-31,11:39,Ponte #7
2025-05-31,11:40,Ponte #8
2025-05-31,11:43,Vino Vero
2025-05-31,12:43,Ponte #9
2025-05-31,12:45,Stop by McDonald’s
2025-05-31,13:08,Caffe' Brasilia - dal 1961
2025-05-31,13:15,Coop
2025-05-31,13:55,Ponte #10 (Constitution Bridge)
2025-05-31,14:25,Transfer 4.1 to 6 to museum areas
2025-05-31,14:36,Gelati Nico
2025-05-31,15:00,Ponte #11
2025-05-31,15:10,Peggy Guggenheim Collection
2025-05-31,15:20,Ponte #12
2025-05-31,15:22,Ponte #13
2025-05-31,15:23,Corner pub
2025-05-31,15:58,Ponte #14
2025-05-31,16:30,Ponte #15
2025-05-31,16:25,Take water bus to St. Marco
2025-05-31,16:32,Giardini Reali
2025-05-31,16:42,Caffè Quadri
2025-05-31,17:00,Ponte #16
2025-05-31,17:26,Ponte #17
2025-05-31,19:12,Ponte #18
2025-05-31,19:15,Piscina S. Moisè
2025-05-31,19:23,Ponte #19
2025-05-31,19:30,Teatro La Fenice for orchestra
2025-05-31,21:40,Done concert
2025-05-31,21:47,Ponte #20
2025-05-31,21:50,Ponte #21
2025-05-31,21:55,Wait for water bus
2025-05-31,22:13,One stop to the other side
2025-05-31,22:17,Ponte #22
2025-05-31,22:20,Ponte #23
2025-05-31,22:21,Ponte #24
2025-05-31,22:45,Back to hotel
2025-06-01,07:50,Leaving hotel to take water bus
2025-06-01,07:55,On board water bus to bus station
2025-06-01,08:05,Waiting for bus
2025-06-01,08:20,Leaving to VEC airport
2025-06-01,08:45,Arrive VEC airport
2025-06-01,09:00,Get coffee in airport
2025-06-01,10:00,At airport lounge
2025-06-01,12:40,Arrive Rome
2025-06-01,13:45,Duty free shopping
2025-06-01,15:05,Finally in the flight
2025-06-01,15:37,Nap time in flight 👋
